အောက်ပါအတိုင်း CSV ပုံစံဖြင့် ပြန်လည်ပြင်ဆင်ထားပါသည်။ ကော်လံခေါင်းစဉ်များနှင့် တန်ဖိုးများကို ကော်မာ (`,`) ဖြင့် ခြားနားထားပြီး၊ ဖော်မြူလာ သို့မဟုတ် သင်္ကေတများပါသော အကွက်များကို ကိုးကားအမှတ်အသား (`"`) ဖြင့် ထည့်သွင်းထားပါသည်။

```csv
C_ID,ဗျည်းအမျိုးအစား,H-ID,"Base Unicode","Freq Rank","Phonetic Value (P-Val)","Complexity Score (C-Score)","Semantic Density (S-Den)","Grapheme Type (G-Type)","Medial Code (M-Code)"
C01,က,ရှေးရိုးဗျည်း,01.10,"U+1000",1,1,1,3,10
C01w,ကွ,ရှေးရိုးဗျည်း + ဝ,01.11,"U+1000 U+103D",2,8,1.5,3,241
C02,ခ,ရှေးရိုးဗျည်း,02.10,"U+1001",5,2,1,2,10
C02w,ခွ,ရှေးရိုးဗျည်း + ဝ,02.11,"U+1001 U+103D",33,2.5,3,1,41
C03,ဂ,ရှေးရိုးဗျည်း,03.10,"U+1002",12,3,1,1,10
C03w,ဂွ,ရှေးရိုးဗျည်း + ဝ,03.11,"U+1002 U+103D",45,3.5,3,1,41
C04,ဃ,ရှေးရိုးဗျည်း,04.10,"U+1003",85,4,1,1,10
C04w,ဃွ,ရှေးရိုးဗျည်း + ဝ,04.11,"U+1003 U+103D",170,4.5,3,1,41
C05,င,ရှေးရိုးဗျည်း,05.10,"U+1004",10,5,1,2,10
C05w,ငွ,ရှေးရိုးဗျည်း + ဝ,05.11,"U+1004 U+103D",37,5.5,3,1,41
C06,ငှ,ရှေးရိုးဗျည်း,06.10,"U+1004 U+103A",40,6,2,1,10
C06w,ငှွ,ရှေးရိုးဗျည်း + ဝ,06.11,"U+1004 U+103A U+103D",120,6.5,4,1,41
C07,စ,ရှေးရိုးဗျည်း,07.10,"U+1005",37,1,4,1,10
C07w,စွ,ရှေးရိုးဗျည်း + ဝ,07.11,"U+1005 U+103D",35,7.5,3,2,41
C08,ဆ,ရှေးရိုးဗျည်း,08.10,"U+1006",88,1,2,1,10
C08w,ဆွ,ရှေးရိုးဗျည်း + ဝ,08.11,"U+1006 U+103D",29,8.5,3,2,41
C09,ဇ,ရှေးရိုးဗျည်း,09.10,"U+1007",48,9,1,2,10
C09w,ဇွ,ရှေးရိုးဗျည်း + ဝ,09.11,"U+1007 U+103D",80,9.5,3,1,41
C10,ဈ,ရှေးရိုးဗျည်း,10.10,"U+1008",90,10,1,1,10
C10w,ဈွ,ရှေးရိုးဗျည်း + ဝ,10.11,"U+1008 U+103D",180,10.5,3,1,41
C11,ည,ရှေးရိုးဗျည်း,11.10,"U+100A",14,11,1,2,10
C11w,ညွ,ရှေးရိုးဗျည်း + ဝ,11.11,"U+100A U+103D",22,11.5,3,2,41
C12,ညှ,ရှေးရိုးဗျည်း,12.10,"U+100A U+103A",55,12,2,1,10
C12w,ညှွ,ရှေးရိုးဗျည်း + ဝ,12.11,"U+100A U+103A U+103D",125,12.5,4,1,41
C13,ဋ,ရှေးရိုးဗျည်း,13.10,"U+100D",91,13,1,1,10
C13w,ဋွ,ရှေးရိုးဗျည်း + ဝ,13.11,"U+100D U+103D",181,13.5,3,1,41
C14,ဌ,ရှေးရိုးဗျည်း,14.10,"U+100E",88,14,1,1,10
C14w,ဌွ,ရှေးရိုးဗျည်း + ဝ,14.11,"U+100E U+103D",178,14.5,3,1,41
C15,ဍ,ရှေးရိုးဗျည်း,15.10,"U+100F",92,15,1,1,10
C15w,ဍွ,ရှေးရိုးဗျည်း + ဝ,15.11,"U+100F U+103D",182,15.5,3,1,41
C16,ဎ,ရှေးရိုးဗျည်း,16.10,"U+1010",93,16,1,1,10
C16w,ဎွ,ရှေးရိုးဗျည်း + ဝ,16.11,"U+1010 U+103D",183,16.5,3,1,41
C17,ဏ,ရှေးရိုးဗျည်း,17.10,"U+1012",86,17,1,1,10
C17w,ဏွ,ရှေးရိုးဗျည်း + ဝ,17.11,"U+1012 U+103D",176,17.5,3,1,41
C18,ဏှ,ရှေးရိုးဗျည်း,18.10,"U+1012 U+103A",94,18,2,1,10
C18w,ဏှွ,ရှေးရိုးဗျည်း + ဝ,18.11,"U+1012 U+103A U+103D",184,18.5,4,1,41
C19,တ,ရှေးရိုးဗျည်း,19.10,"U+1010",2,19,1,3,10
C19w,တွ,ရှေးရိုးဗျည်း + ဝ,19.11,"U+1010 U+103D",13,19.5,3,3,41
C20,ထ,ရှေးရိုးဗျည်း,20.10,"U+1011",15,20,1,2,10
C20w,ထွ,ရှေးရိုးဗျည်း + ဝ,20.11,"U+1011 U+103D",52,20.5,3,2,41
C21,ဒ,ရှေးရိုးဗျည်း,21.10,"U+1012",20,21,1,2,10
C21w,ဒွ,ရှေးရိုးဗျည်း + ဝ,21.11,"U+1012 U+103D",60,21.5,3,1,41
C22,ဓ,ရှေးရိုးဗျည်း,22.10,"U+1013",44,22,1,2,10
C22w,ဓွ,ရှေးရိုးဗျည်း + ဝ,22.11,"U+1013 U+103D",100,22.5,3,1,41
C23,န,ရှေးရိုးဗျည်း,23.10,"U+1014",4,23,1,3,10
C23w,နွ,ရှေးရိုးဗျည်း + ဝ,23.11,"U+1014 U+103D",31,23.5,3,2,41
C24,နှ,ရှေးရိုးဗျည်း,24.10,"U+1014 U+103A",26,24,2,2,10
C24w,နှွ,ရှေးရိုးဗျည်း + ဝ,24.11,"U+1014 U+103A U+103D",82,24.5,4,1,41
C25,ပ,ရှေးရိုးဗျည်း,25.10,"U+1015",7,25,1,3,10
C25w,ပွ,ရှေးရိုးဗျည်း + ဝ,25.11,"U+1015 U+103D",42,25.5,3,2,41
C26,ဖ,ရှေးရိုးဗျည်း,26.10,"U+1016",17,26,1,2,10
C26w,ဖွ,ရှေးရိုးဗျည်း + ဝ,26.11,"U+1016 U+103D",54,26.5,3,1,41
C27,ဗ,ရှေးရိုးဗျည်း,27.10,"U+1017",41,27,1,2,10
C27w,ဗွ,ရှေးရိုးဗျည်း + ဝ,27.11,"U+1017 U+103D",70,27.5,3,1,41
C28,ဘ,ရှေးရိုးဗျည်း,28.10,"U+1018",39,28,1,2,10
C28w,ဘွ,ရှေးရိုးဗျည်း + ဝ,28.11,"U+1018 U+103D",75,28.5,3,1,41
C29,မ,ရှေးရိုးဗျည်း,29.10,"U+1019",6,29,1,4,10
C29w,မွ,ရှေးရိုးဗျည်း + ဝ,29.11,"U+1019 U+103D",38,29.5,3,2,41
C30,မှ,ရှေးရိုးဗျည်း,30.10,"U+1019 U+103A",27,30,2,2,10
C30w,မှွ,ရှေးရိုးဗျည်း + ဝ,30.11,"U+1019 U+103A U+103D",84,30.5,4,1,41
C31,ယ,ရှေးရိုးဗျည်း,31.10,"U+101A",34,31,1,2,10
C31w,ယွ,ရှေးရိုးဗျည်း + ဝ,31.11,"U+101A U+103D",65,31.5,3,1,41
C32,ယှ,ရှေးရိုးဗျည်း,32.10,"U+101A U+103A",51,32,2,1,10
C32w,ယှွ,ရှေးရိုးဗျည်း + ဝ,32.11,"U+101A U+103A U+103D",122,32.5,4,1,41
C33,ရ,ရှေးရိုးဗျည်း,33.10,"U+101B",9,33,1,5,10
C33w,ရွ,ရှေးရိုးဗျည်း + ဝ,33.11,"U+101B U+103D",20,33.5,3,3,41
C34,ရှ,ရှေးရိုးဗျည်း,34.10,"U+101B U+103A",32,34,2,2,10
C34w,ရှွ,ရှေးရိုးဗျည်း + ဝ,34.11,"U+101B U+103A U+103D",68,34.5,4,1,41
C35,လ,ရှေးရိုးဗျည်း,35.10,"U+101C",11,35,1,3,10
C35w,လွ,ရှေးရိုးဗျည်း + ဝ,35.11,"U+101C U+103D",43,35.5,3,2,41
C36,လှ,ရှေးရိုးဗျည်း,36.10,"U+101C U+103A",36,36,2,2,10
C36w,လှွ,ရှေးရိုးဗျည်း + ဝ,36.11,"U+101C U+103A U+103D",105,36.5,4,1,41
C37,ဝ,ရှေးရိုးဗျည်း,37.10,"U+101D",43,37,1,2,10
C37w,ဝွ,ရှေးရိုးဗျည်း + ဝ,37.11,"U+101D U+103D",110,37.5,3,1,41
C38,ဝှ,ရှေးရိုးဗျည်း,38.10,"U+101D U+103A",89,38,2,1,10
C38w,ဝှွ,ရှေးရိုးဗျည်း + ဝ,38.11,"U+101D U+103A U+103D",179,38.5,4,1,41
C39,သ,ရှေးရိုးဗျည်း,39.10,"U+101E",10,39,1,3,10
C39w,သွ,ရှေးရိုးဗျည်း + ဝ,39.11,"U+101E U+103D",30,39.5,3,2,41
C40,သှ,ရှေးရိုးဗျည်း,40.10,"U+101E U+103A",87,40,2,1,10
C40w,သှွ,ရှေးရိုးဗျည်း + ဝ,40.11,"U+101E U+103A U+103D",177,40.5,4,1,41
C41,ဟ,ရှေးရိုးဗျည်း,41.10,"U+101F",47,41,1,2,10
C41w,ဟွ,ရှေးရိုးဗျည်း + ဝ,41.11,"U+101F U+103D",115,41.5,3,1,41
C42,ဟှ,ရှေးရိုးဗျည်း,42.10,"U+101F U+103A",95,42,2,1,10
C42w,ဟှွ,ရှေးရိုးဗျည်း + ဝ,42.11,"U+101F U+103A U+103D",185,42.5,4,1,41
C43,ဠ,ရှေးရိုးဗျည်း,43.10,"U+1020",96,43,1,1,10
C43w,ဠွ,ရှေးရိုးဗျည်း + ဝ,43.11,"U+1020 U+103D",186,43.5,3,1,41
C44,ဠှ,ရှေးရိုးဗျည်း,44.10,"U+1020 U+103A",97,44,2,1,10
C44w,ဠှွ,ရှေးရိုးဗျည်း + ဝ,44.11,"U+1020 U+103A U+103D",187,44.5,4,1,41
C45,အ,ရှေးရိုးဗျည်း,45.10,"U+1000",14,45,1,4,10
C45w,အွ,ရှေးရိုးဗျည်း + ဝ,45.11,"U+1000 U+103D",46,45.5,3,2,41
```
